src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size,vpn_label
192.168.31.160,52.168.117.169,59457,443,6,47.15356683731079,17,4261,250.64705882352945,352.25441026362324,Non-VPN
192.168.31.160,34.107.148.139,59298,443,6,45.04032278060913,2,110,55.0,0.0,Non-VPN
34.107.148.139,192.168.31.160,443,59298,6,45.06952214241028,2,132,66.0,0.0,Non-VPN
192.168.31.160,52.168.117.169,59458,443,6,79.80959916114807,13,3157,242.84615384615384,366.4173421647142,Non-VPN
52.168.117.169,192.168.31.160,443,59457,6,126.65858602523804,19,8129,427.8421052631579,537.6023048938191,Non-VPN
192.168.31.160,103.180.115.6,59187,443,6,30.02304315567017,3,163,54.333333333333336,0.4714045207910317,Non-VPN
103.180.115.6,192.168.31.160,443,59187,6,30.023022890090942,6,399,66.5,14.739402972983676,Non-VPN
52.168.117.169,192.168.31.160,443,59458,6,79.82419395446777,15,7477,498.4666666666666,578.9585899603604,Non-VPN
192.168.31.160,35.190.75.32,59305,443,6,45.04295516014099,2,110,55.0,0.0,Non-VPN
35.190.75.32,192.168.31.160,443,59305,6,45.03594779968262,2,132,66.0,0.0,Non-VPN
192.168.31.160,52.168.117.169,59459,443,6,49.04061102867127,37,20990,567.2972972972973,516.8067684721644,Non-VPN
192.168.31.160,52.168.117.169,59461,443,6,0.8468928337097168,8,2916,364.5,443.64456493909626,Non-VPN
52.168.117.169,192.168.31.160,443,59459,6,124.48917484283449,33,10298,312.06060606060606,456.0231878337515,Non-VPN
192.168.31.160,52.168.117.169,59462,443,6,0.7993290424346924,7,2914,416.2857142857143,463.58624233429606,Non-VPN
192.168.31.160,172.240.45.96,59299,443,6,45.29626393318176,2,110,55.0,0.0,Non-VPN
192.168.31.160,52.168.117.169,59464,443,6,78.08349990844727,15,3289,219.26666666666668,346.3727215330651,Non-VPN
192.168.31.160,69.90.254.78,59291,443,6,73.50477814674377,4,218,54.5,0.5,Non-VPN
52.168.117.169,192.168.31.160,443,59461,6,0.6772041320800781,11,7084,644.0,614.0371620379636,Non-VPN
52.168.117.169,192.168.31.160,443,59462,6,0.6352219581604004,11,7084,644.0,614.0371620379636,Non-VPN
172.240.45.96,192.168.31.160,443,59299,6,377.3169260025024,6,348,58.0,5.656854249492381,Non-VPN
52.168.117.169,192.168.31.160,443,59464,6,78.09923791885376,15,7477,498.4666666666666,578.9585899603604,Non-VPN
69.90.254.78,192.168.31.160,443,59291,6,73.49544215202332,6,411,68.5,13.683932183404009,Non-VPN
192.168.31.160,192.168.31.1,63587,53,17,0.1038880348205566,2,178,89.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,63305,53,17,0.1038401126861572,2,184,92.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,58061,53,17,0.1038269996643066,2,184,92.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,51722,53,17,0.1036760807037353,2,184,92.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,50463,53,17,0.1036159992218017,2,180,90.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,55452,53,17,0.1034209728240966,2,180,90.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,63587,17,0.0053780078887939,2,548,274.0,3.0,Non-VPN
192.168.31.1,192.168.31.160,53,63305,17,0.0037379264831542,2,554,277.0,3.0,Non-VPN
192.168.31.1,192.168.31.160,53,58061,17,0.0360720157623291,2,500,250.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,51722,17,0.0032830238342285,2,554,277.0,3.0,Non-VPN
192.168.31.1,192.168.31.160,53,55452,17,0.0,1,272,272.0,0.0,Non-VPN
192.168.31.1,192.168.31.160,53,50463,17,0.0,1,248,248.0,0.0,Non-VPN
192.168.31.160,192.168.31.1,49840,53,17,3.631613969802856,8,648,81.0,8.52936105461599,Non-VPN
192.168.31.1,192.168.31.160,53,49840,17,3.600759029388428,8,1260,157.5,89.57957356451303,Non-VPN
192.168.31.160,192.168.31.1,61882,53,17,17.457100868225098,10,824,82.4,9.92169340384997,Non-VPN
192.168.31.1,192.168.31.160,53,61882,17,17.430906057357788,10,1549,154.9,48.156930965334574,Non-VPN
192.168.31.141,239.255.255.250,34420,1900,17,0.0,1,327,327.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,57614,1900,17,0.0,1,336,336.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,36154,1900,17,0.0,1,391,391.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,59409,1900,17,0.0,1,393,393.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,39192,1900,17,0.0,1,381,381.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,57140,1900,17,0.0,1,327,327.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,38455,1900,17,0.0,1,336,336.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,34542,1900,17,0.0,1,383,383.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,51859,1900,17,0.0,1,391,391.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,36123,1900,17,0.0,1,393,393.0,0.0,Non-VPN
192.168.31.141,239.255.255.250,52502,1900,17,0.0,1,381,381.0,0.0,Non-VPN
