src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size
192.168.31.160,192.168.31.1,50463,53,17,0.10361599922180176,2,180,90.0,0.0
192.168.31.160,192.168.31.1,55452,53,17,0.10342097282409668,2,180,90.0,0.0
192.168.31.1,192.168.31.160,53,63587,17,0.005378007888793945,2,548,274.0,3.0
192.168.31.1,192.168.31.160,53,63305,17,0.003737926483154297,2,554,277.0,3.0
192.168.31.1,192.168.31.160,53,58061,17,0.0360720157623291,2,500,250.0,0.0
192.168.31.1,192.168.31.160,53,51722,17,0.0032830238342285156,2,554,277.0,3.0
192.168.31.1,192.168.31.160,53,55452,17,0.0,1,272,272.0,0.0
192.168.31.1,192.168.31.160,53,50463,17,0.0,1,248,248.0,0.0
192.168.31.160,192.168.31.1,49840,53,17,3.6316139698028564,8,648,81.0,8.52936105461599
192.168.31.1,192.168.31.160,53,49840,17,3.6007590293884277,8,1260,157.5,89.57957356451303
192.168.31.160,192.168.31.1,61882,53,17,17.457100868225098,10,824,82.4,9.92169340384997
192.168.31.1,192.168.31.160,53,61882,17,17.430906057357788,10,1549,154.9,48.156930965334574
192.168.31.141,239.255.255.250,34420,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,57614,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,36154,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,59409,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,39192,1900,17,0.0,1,381,381.0,0.0
192.168.31.141,239.255.255.250,57140,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,38455,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,34542,1900,17,0.0,1,383,383.0,0.0
192.168.31.141,239.255.255.250,51859,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,36123,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,52502,1900,17,0.0,1,381,381.0,0.0
192.168.31.141,239.255.255.250,33955,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,36958,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,37281,1900,17,0.0,1,383,383.0,0.0
192.168.31.141,239.255.255.250,45939,1900,17,0.0,1,391,391.0,0.0
192.168.31.141,239.255.255.250,53105,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,47825,1900,17,0.0,1,381,381.0,0.0
192.168.31.160,23.45.47.122,59167,443,6,45.130370140075684,2,110,55.0,0.0
192.168.31.141,239.255.255.250,55589,1900,17,0.0,1,327,327.0,0.0
192.168.31.141,239.255.255.250,44120,1900,17,0.0,1,336,336.0,0.0
192.168.31.141,239.255.255.250,52350,1900,17,0.0,1,383,383.0,0.0
192.168.31.141,239.255.255.250,43799,1900,17,0.0,1,391,391.0,0.0
23.45.47.122,192.168.31.160,443,59167,6,291.11608600616455,11,786,71.45454545454545,9.384354836773774
192.168.31.141,239.255.255.250,58359,1900,17,0.0,1,393,393.0,0.0
192.168.31.141,239.255.255.250,53200,1900,17,0.0,1,381,381.0,0.0
192.168.31.160,13.225.103.97,59344,443,6,45.21686792373657,2,110,55.0,0.0
13.225.103.97,192.168.31.160,443,59344,6,108.68371796607971,9,705,78.33333333333333,16.87865186822955
192.168.31.160,34.144.233.101,59343,443,6,45.20745897293091,2,110,55.0,0.0
34.144.233.101,192.168.31.160,443,59343,6,45.04711318016052,2,132,66.0,0.0
192.168.31.160,35.213.183.23,51986,443,6,45.34661602973938,2,110,55.0,0.0
35.213.183.23,192.168.31.160,443,51986,6,527.7707281112671,18,1347,74.83333333333333,18.506005031400544
192.168.31.160,13.224.159.61,51418,443,6,45.302956104278564,2,110,55.0,0.0
192.168.31.160,104.18.34.190,51360,443,6,45.30715012550354,2,110,55.0,0.0
192.168.31.160,35.213.188.76,59350,443,6,45.39542508125305,2,110,55.0,0.0
192.168.31.160,207.65.33.78,51372,443,6,45.399230003356934,2,110,55.0,0.0
13.224.159.61,192.168.31.160,443,51418,6,153.73904299736023,9,705,78.33333333333333,16.87865186822955
192.168.31.160,143.244.197.139,51371,443,6,12.38956904411316,3,163,54.333333333333336,0.4714045207910317
104.18.34.190,192.168.31.160,443,51360,6,310.45409989356995,7,519,74.14285714285714,16.948902799958734
35.213.188.76,192.168.31.160,443,59350,6,45.10801601409912,2,132,66.0,0.0
207.65.33.78,192.168.31.160,443,51372,6,233.1059329509735,12,960,80.0,18.384776310850235
192.168.31.160,35.213.7.90,51525,443,6,45.547178983688354,2,110,55.0,0.0
143.244.197.139,192.168.31.160,443,51371,6,12.116029977798462,3,237,79.0,27.313000567495326
192.168.31.160,34.160.72.119,59368,443,6,45.33971905708313,2,110,55.0,0.0
35.213.7.90,192.168.31.160,443,51525,6,45.17336702346802,2,132,66.0,0.0
34.160.72.119,192.168.31.160,443,59368,6,45.04823899269104,2,132,66.0,0.0
192.168.31.160,104.208.16.90,59406,443,6,0.0,1,55,55.0,0.0
192.168.31.160,104.208.16.90,59405,443,6,0.0,1,55,55.0,0.0
192.168.31.160,35.212.43.231,59364,443,6,45.67792892456055,2,110,55.0,0.0
192.168.31.160,34.22.92.149,51182,443,6,45.52531814575195,2,110,55.0,0.0
104.208.16.90,192.168.31.160,443,59405,6,37.51452589035034,2,120,60.0,6.0
104.208.16.90,192.168.31.160,443,59406,6,33.9671471118927,2,120,60.0,6.0
